condition_type,year,setting,condition_id,condition_name,claims,beneficiaries,payment_amount,denominator_beneficiaries,prevalence
primary_diagnosis_ccs,2008,carrier,50,Diabetes mellitus with complications,22033,16293,1392830.0,,
primary_diagnosis_ccs,2008,carrier,163,Genitourinary symptoms and ill-defined conditions,17685,14852,1363430.0,,
primary_diagnosis_ccs,2008,carrier,19,Cancer of bronchus; lung,7624,3998,1340750.0,,
primary_diagnosis_ccs,2008,carrier,117,Other circulatory disease,11537,10065,1313040.0,,
primary_diagnosis_ccs,2008,carrier,131,Respiratory failure; insufficiency; arrest (adult),7743,5231,1201850.0,,
primary_diagnosis_ccs,2008,carrier,657,Mood disorders,21849,13343,1196920.0,,
primary_diagnosis_ccs,2008,carrier,122,Pneumonia (except that caused by tuberculosis or sexually transmitted disease),12826,9616,1166590.0,,
primary_diagnosis_ccs,2008,carrier,91,Other eye disorders,11560,10293,1164880.0,,
primary_diagnosis_ccs,2008,carrier,109,Acute cerebrovascular disease,10327,6863,1126680.0,,
primary_diagnosis_ccs,2008,carrier,114,Peripheral and visceral atherosclerosis,10784,9441,1084690.0,,
primary_diagnosis_ccs,2008,carrier,237,Complication of device; implant or graft,5362,4002,1049050.0,,
primary_diagnosis_ccs,2008,carrier,244,Other injuries and conditions due to external causes,9863,8487,961180.0,,
primary_diagnosis_ccs,2008,carrier,159,Urinary tract infections,19294,15698,960070.0,,
primary_diagnosis_ccs,2008,carrier,153,Gastrointestinal hemorrhage,7496,6476,927440.0,,
primary_diagnosis_ccs,2008,carrier,252,Malaise and fatigue,12640,11102,925670.0,,
primary_diagnosis_ccs,2008,carrier,257,Other aftercare,33575,22687,924340.0,,
primary_diagnosis_ccs,2008,carrier,245,Syncope,8158,6956,878920.0,,
primary_diagnosis_ccs,2008,carrier,48,Thyroid disorders,16184,13872,856230.0,,
primary_diagnosis_ccs,2008,carrier,134,Other upper respiratory disease,13831,11200,834190.0,,
primary_diagnosis_ccs,2008,carrier,197,Skin and subcutaneous tissue infections,10646,9278,811460.0,,
primary_diagnosis_ccs,2008,carrier,157,Acute and unspecified renal failure,6373,4678,805610.0,,
primary_diagnosis_ccs,2008,carrier,653,"Delirium, dementia, and amnestic and other cognitive disorders",10452,7278,760290.0,,
primary_diagnosis_ccs,2008,carrier,202,Rheumatoid arthritis and related disease,6558,5393,724520.0,,
primary_diagnosis_ccs,2008,carrier,14,Cancer of colon,4388,3111,713480.0,,
primary_diagnosis_ccs,2008,carrier,10,Immunizations and screening for infectious disease,23662,19480,708200.0,,
primary_diagnosis_ccs,2008,carrier,126,Other upper respiratory infections,12307,11077,694060.0,,
primary_diagnosis_ccs,2008,carrier,138,Esophageal disorders,8187,7465,678600.0,,
primary_diagnosis_ccs,2008,carrier,99,Hypertension with complications and secondary hypertension,9045,8010,676850.0,,
primary_diagnosis_ccs,2008,carrier,256,Medical examination/evaluation,16613,14319,674580.0,,
primary_diagnosis_ccs,2008,carrier,93,Conditions associated with dizziness or vertigo,7797,7095,673920.0,,
primary_diagnosis_ccs,2008,carrier,38,Non-Hodgkin`s lymphoma,3983,3258,656710.0,,
primary_diagnosis_ccs,2008,carrier,226,Fracture of neck of femur (hip),4937,3084,656000.0,,
primary_diagnosis_ccs,2008,carrier,110,Occlusion or stenosis of precerebral arteries,5886,5393,640690.0,,
primary_diagnosis_ccs,2008,carrier,4,Mycoses,16517,13826,638570.0,,
primary_diagnosis_ccs,2008,carrier,149,Biliary tract disease,4613,4042,635440.0,,
primary_diagnosis_ccs,2008,carrier,232,Sprains and strains,7406,6552,614290.0,,
primary_diagnosis_ccs,2008,carrier,199,Chronic ulcer of skin,8177,6659,599650.0,,
primary_diagnosis_ccs,2008,carrier,146,Diverticulosis and diverticulitis,4535,4221,577060.0,,
primary_diagnosis_ccs,2008,carrier,659,Schizophrenia and other psychotic disorders,9208,6239,568200.0,,
primary_diagnosis_ccs,2008,carrier,94,Other ear and sense organ disorders,8412,7766,562980.0,,
primary_diagnosis_ccs,2008,carrier,164,Hyperplasia of prostate,7022,6458,557640.0,,
primary_diagnosis_ccs,2008,carrier,225,Joint disorders and dislocations; trauma-related,4630,4067,552470.0,,
primary_diagnosis_ccs,2008,carrier,55,Fluid and electrolyte disorders,7398,6365,546460.0,,
primary_diagnosis_ccs,2008,carrier,167,Nonmalignant breast conditions,6641,5998,536910.0,,
primary_diagnosis_ccs,2008,carrier,143,Abdominal hernia,3711,3439,515210.0,,
primary_diagnosis_ccs,2008,carrier,42,Secondary malignancies,2320,1878,514220.0,,
primary_diagnosis_ccs,2008,carrier,100,Acute myocardial infarction,3253,2506,514210.0,,
primary_diagnosis_ccs,2008,carrier,32,Cancer of bladder,3334,2870,492860.0,,
primary_diagnosis_ccs,2008,carrier,58,Other nutritional; endocrine; and metabolic disorders,7540,6699,477500.0,,
primary_diagnosis_ccs,2008,carrier,253,Allergic reactions,7097,6537,475560.0,,
primary_diagnosis_ccs,2008,carrier,229,Fracture of upper limb,5537,4816,470790.0,,
primary_diagnosis_ccs,2008,carrier,83,Epilepsy; convulsions,5015,4338,468210.0,,
primary_diagnosis_ccs,2008,carrier,84,Headache; including migraine,5993,5444,466720.0,,
primary_diagnosis_ccs,2008,carrier,250,Nausea and vomiting,4073,3745,459710.0,,
primary_diagnosis_ccs,2008,carrier,140,Gastritis and duodenitis,3718,3485,457040.0,,
primary_diagnosis_ccs,2008,carrier,161,Other diseases of kidney and ureters,6351,4921,448910.0,,
primary_diagnosis_ccs,2008,carrier,130,Pleurisy; pneumothorax; pulmonary collapse,8543,6533,433660.0,,
primary_diagnosis_ccs,2008,carrier,115,Aortic; peripheral; and visceral artery aneurysms,3074,2825,430100.0,,
primary_diagnosis_ccs,2008,carrier,151,Other liver diseases,5213,4697,426170.0,,
primary_diagnosis_ccs,2008,carrier,128,Asthma,5727,5253,424240.0,,
primary_diagnosis_ccs,2008,carrier,206,Osteoporosis,6564,5498,418920.0,,
primary_diagnosis_ccs,2008,carrier,230,Fracture of lower limb,4325,3918,405700.0,,
primary_diagnosis_ccs,2008,carrier,85,Coma; stupor; and brain damage,2322,2151,380700.0,,
primary_diagnosis_ccs,2008,carrier,160,Calculus of urinary tract,3840,3403,376600.0,,
primary_diagnosis_ccs,2008,carrier,125,Acute bronchitis,6751,6311,374510.0,,
primary_diagnosis_ccs,2008,carrier,2,Septicemia (except in labor),3002,2497,363000.0,,
primary_diagnosis_ccs,2008,carrier,231,Other fractures,3519,3162,356020.0,,
primary_diagnosis_ccs,2008,carrier,11,Cancer of head and neck,1783,1521,347700.0,,
primary_diagnosis_ccs,2008,carrier,239,Superficial injury; contusion,5551,5216,346630.0,,
primary_diagnosis_ccs,2008,carrier,15,Cancer of rectum and anus,1871,1399,342910.0,,
primary_diagnosis_ccs,2008,carrier,90,Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease),5758,5378,341860.0,,
primary_diagnosis_ccs,2008,carrier,112,Transient cerebral ischemia,3330,2758,341080.0,,
primary_diagnosis_ccs,2008,carrier,45,Maintenance chemotherapy; radiotherapy,1130,1007,340230.0,,
primary_diagnosis_ccs,2008,carrier,97,Peri-; endo-; and myocarditis; cardiomyopathy (except that caused by tuberculosis or sexually transmitted disease),3356,3122,336900.0,,
primary_diagnosis_ccs,2008,carrier,105,Conduction disorders,6819,6055,333060.0,,
primary_diagnosis_ccs,2008,carrier,208,Acquired foot deformities,3562,3365,330920.0,,
primary_diagnosis_ccs,2008,carrier,198,Other inflammatory condition of skin,4742,4345,328010.0,,
primary_diagnosis_ccs,2008,carrier,118,Phlebitis; thrombophlebitis and thromboembolism,5266,4681,322540.0,,
primary_diagnosis_ccs,2008,carrier,40,Multiple myeloma,1993,1563,307310.0,,
primary_diagnosis_ccs,2008,carrier,246,Fever of unknown origin,3604,3278,300410.0,,
primary_diagnosis_ccs,2008,carrier,81,Other hereditary and degenerative nervous system conditions,2911,2784,299020.0,,
primary_diagnosis_ccs,2008,carrier,175,Other female genital disorders,3116,2961,297010.0,,
primary_diagnosis_ccs,2008,carrier,238,Complications of surgical procedures or medical care,2788,2507,290640.0,,
primary_diagnosis_ccs,2008,carrier,39,Leukemias,2234,1878,289930.0,,
primary_diagnosis_ccs,2008,carrier,63,Diseases of white blood cells,2094,1913,281610.0,,
primary_diagnosis_ccs,2008,carrier,104,Other and ill-defined heart disease,4626,4298,269870.0,,
primary_diagnosis_ccs,2008,carrier,51,Other endocrine disorders,3506,3255,269020.0,,
primary_diagnosis_ccs,2008,carrier,651,Anxiety disorders,4490,3989,263310.0,,
primary_diagnosis_ccs,2008,carrier,145,Intestinal obstruction without hernia,2338,2119,262160.0,,
primary_diagnosis_ccs,2008,carrier,162,Other diseases of bladder and urethra,2449,2343,260930.0,,
primary_diagnosis_ccs,2008,carrier,173,Menopausal disorders,4269,4010,244400.0,,
primary_diagnosis_ccs,2008,carrier,236,Open wounds of extremities,3161,2960,243340.0,,
primary_diagnosis_ccs,2008,carrier,62,Coagulation and hemorrhagic disorders,4404,3936,224790.0,,
primary_diagnosis_ccs,2008,carrier,170,Prolapse of female genital organs,1844,1747,216080.0,,
primary_diagnosis_ccs,2008,carrier,89,Blindness and vision defects,3072,2968,214140.0,,
primary_diagnosis_ccs,2008,carrier,235,Open wounds of head; neck; and trunk,1815,1739,207930.0,,
primary_diagnosis_ccs,2008,carrier,103,Pulmonary heart disease,2656,2445,203850.0,,
primary_diagnosis_ccs,2008,carrier,7,Viral infection,3255,3133,200500.0,,
primary_diagnosis_ccs,2008,carrier,27,Cancer of ovary,1338,1092,197290.0,,
primary_diagnosis_ccs,2008,carrier,52,Nutritional deficiencies,4662,4315,196420.0,,
primary_diagnosis_ccs,2008,carrier,119,Varicose veins of lower extremity,1781,1681,196170.0,,
primary_diagnosis_ccs,2008,carrier,17,Cancer of pancreas,1029,818,195390.0,,
primary_diagnosis_ccs,2008,carrier,111,Other and ill-defined cerebrovascular disease,1996,1913,193650.0,,
primary_diagnosis_ccs,2008,carrier,22,Melanomas of skin,1311,1223,190150.0,,
primary_diagnosis_ccs,2008,carrier,79,Parkinson`s disease,2563,2351,187310.0,,
primary_diagnosis_ccs,2008,carrier,154,Noninfectious gastroenteritis,1948,1880,173180.0,,
primary_diagnosis_ccs,2008,carrier,121,Other diseases of veins and lymphatics,1740,1652,172070.0,,
primary_diagnosis_ccs,2008,carrier,201,Infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease),1464,1302,161090.0,,
primary_diagnosis_ccs,2008,carrier,152,Pancreatic disorders (not diabetes),1412,1294,160650.0,,
primary_diagnosis_ccs,2008,carrier,92,Otitis media and related conditions,2202,2131,155320.0,,
primary_diagnosis_ccs,2008,carrier,113,Late effects of cerebrovascular disease,1599,1445,151200.0,,
primary_diagnosis_ccs,2008,carrier,107,Cardiac arrest and ventricular fibrillation,774,741,143370.0,,
primary_diagnosis_ccs,2008,carrier,650,Adjustment disorders,2220,2033,142160.0,,
primary_diagnosis_ccs,2008,carrier,207,Pathological fracture,1106,1070,141710.0,,
primary_diagnosis_ccs,2008,carrier,25,Cancer of uterus,892,643,141030.0,,
primary_diagnosis_ccs,2008,carrier,141,Other disorders of stomach and duodenum,1294,1265,139870.0,,
primary_diagnosis_ccs,2008,carrier,209,Other acquired deformities,1175,1118,135690.0,,
primary_diagnosis_ccs,2008,carrier,12,Cancer of esophagus,756,606,135680.0,,
primary_diagnosis_ccs,2008,carrier,80,Multiple sclerosis,1223,1102,134760.0,,
primary_diagnosis_ccs,2008,carrier,166,Other male genital disorders,1960,1887,132550.0,,
primary_diagnosis_ccs,2008,carrier,233,Intracranial injury,1110,1030,131270.0,,
primary_diagnosis_ccs,2008,carrier,33,Cancer of kidney and renal pelvis,1087,967,127820.0,,
primary_diagnosis_ccs,2008,carrier,5,HIV infection,1305,1045,121050.0,,
primary_diagnosis_ccs,2008,carrier,3,Bacterial infection; unspecified site,1093,1032,113760.0,,
primary_diagnosis_ccs,2008,carrier,120,Hemorrhoids,1153,1121,113000.0,,
primary_diagnosis_ccs,2008,carrier,254,Rehabilitation care; fitting of prostheses; and adjustment of devices,2081,1906,112890.0,,
primary_diagnosis_ccs,2008,carrier,82,Paralysis,1059,957,112870.0,,
primary_diagnosis_ccs,2008,carrier,248,Gangrene,665,604,112270.0,,
primary_diagnosis_ccs,2008,carrier,217,Other congenital anomalies,1075,1036,110840.0,,
primary_diagnosis_ccs,2008,carrier,147,Anal and rectal conditions,1032,997,110780.0,,
primary_diagnosis_ccs,2008,carrier,144,Regional enteritis and ulcerative colitis,1082,1021,106390.0,,
primary_diagnosis_ccs,2008,carrier,6,Hepatitis,1576,1461,103980.0,,
primary_diagnosis_ccs,2008,carrier,135,Intestinal infection,1133,1078,99380.0,,
primary_diagnosis_ccs,2008,carrier,242,Poisoning by other medications and drugs,1076,1034,98650.0,,
primary_diagnosis_ccs,2008,carrier,54,Gout and other crystal arthropathies,1983,1926,95690.0,,
primary_diagnosis_ccs,2008,carrier,661,Substance-related disorders,841,758,91560.0,,
primary_diagnosis_ccs,2008,carrier,210,Systemic lupus erythematosus and connective tissue disorders,1350,1270,91470.0,,
primary_diagnosis_ccs,2008,carrier,21,Cancer of bone and connective tissue,472,414,89720.0,,
primary_diagnosis_ccs,2008,carrier,41,Cancer; other and unspecified primary,594,566,89520.0,,
primary_diagnosis_ccs,2008,carrier,129,Aspiration pneumonitis; food/vomitus,766,718,87140.0,,
primary_diagnosis_ccs,2008,carrier,249,Shock,495,460,86360.0,,
primary_diagnosis_ccs,2008,carrier,35,Cancer of brain and nervous system,485,428,85160.0,,
primary_diagnosis_ccs,2008,carrier,unmapped,Invalid code format,341,321,85140.0,,
primary_diagnosis_ccs,2008,carrier,116,Aortic and peripheral arterial embolism or thrombosis,554,537,84260.0,,
primary_diagnosis_ccs,2008,carrier,247,Lymphadenitis,807,781,81550.0,,
primary_diagnosis_ccs,2008,carrier,139,Gastroduodenal ulcer (except hemorrhage),716,691,77820.0,,
primary_diagnosis_ccs,2008,carrier,234,Crushing injury or internal injury,444,428,77590.0,,
primary_diagnosis_ccs,2008,carrier,670,Miscellaneous mental health disorders,952,908,75760.0,,
primary_diagnosis_ccs,2008,carrier,168,Inflammatory diseases of female pelvic organs,1291,1252,74370.0,,
primary_diagnosis_ccs,2008,carrier,213,Cardiac and circulatory congenital anomalies,680,660,72140.0,,
primary_diagnosis_ccs,2008,carrier,660,Alcohol-related disorders,847,783,70650.0,,
primary_diagnosis_ccs,2008,carrier,13,Cancer of stomach,510,447,69440.0,,
primary_diagnosis_ccs,2008,carrier,18,Cancer of other GI organs; peritoneum,418,372,69420.0,,
primary_diagnosis_ccs,2008,carrier,137,Diseases of mouth; excluding dental,904,887,67070.0,,
primary_diagnosis_ccs,2008,carrier,43,Malignant neoplasm without specification of site,417,389,66570.0,,
primary_diagnosis_ccs,2008,carrier,165,Inflammatory conditions of male genital organs,1079,1059,65230.0,,
primary_diagnosis_ccs,2008,carrier,16,Cancer of liver and intrahepatic bile duct,391,357,59220.0,,
primary_diagnosis_ccs,2008,carrier,136,Disorders of teeth and jaw,860,842,52640.0,,
primary_diagnosis_ccs,2008,carrier,171,Menstrual disorders,604,570,51130.0,,
primary_diagnosis_ccs,2008,carrier,26,Cancer of cervix,396,368,48320.0,,
primary_diagnosis_ccs,2008,carrier,64,Other hematologic conditions,711,681,47880.0,,
primary_diagnosis_ccs,2008,carrier,36,Cancer of thyroid,438,419,47490.0,,
primary_diagnosis_ccs,2008,carrier,8,Other infections; including parasitic,677,655,45630.0,,
primary_diagnosis_ccs,2008,carrier,172,Ovarian cyst,457,443,45240.0,,
primary_diagnosis_ccs,2008,carrier,148,Peritonitis and intestinal abscess,330,301,43760.0,,
primary_diagnosis_ccs,2008,carrier,123,Influenza,527,520,43160.0,,
primary_diagnosis_ccs,2008,carrier,142,Appendicitis and other appendiceal conditions,283,263,42820.0,,
primary_diagnosis_ccs,2008,carrier,28,Cancer of other female genital organs,252,232,38940.0,,
primary_diagnosis_ccs,2008,carrier,46,Benign neoplasm of uterus,357,349,38250.0,,
primary_diagnosis_ccs,2008,carrier,60,Acute posthemorrhagic anemia,393,384,38020.0,,
primary_diagnosis_ccs,2008,carrier,57,Immunity disorders,304,284,37990.0,,
primary_diagnosis_ccs,2008,carrier,228,Skull and face fractures,325,319,33250.0,,
primary_diagnosis_ccs,2008,carrier,654,Developmental disorders,581,542,31700.0,,
primary_diagnosis_ccs,2008,carrier,37,Hodgkin`s disease,217,201,29460.0,,
primary_diagnosis_ccs,2008,carrier,240,Burns,332,317,29410.0,,
primary_diagnosis_ccs,2008,carrier,156,Nephritis; nephrosis; renal sclerosis,356,338,29380.0,,
primary_diagnosis_ccs,2008,carrier,227,Spinal cord injury,197,191,26450.0,,
primary_diagnosis_ccs,2008,carrier,663,Screening and history of mental health and substance abuse codes,414,407,25890.0,,
primary_diagnosis_ccs,2008,carrier,2603,E Codes: Fall,130,129,22110.0,,
primary_diagnosis_ccs,2008,carrier,215,Genitourinary congenital anomalies,273,271,21260.0,,
primary_diagnosis_ccs,2008,carrier,243,Poisoning by nonmedicinal substances,316,299,20630.0,,
primary_diagnosis_ccs,2008,carrier,61,Sickle cell anemia,255,216,20190.0,,
primary_diagnosis_ccs,2008,carrier,652,"Attention-deficit, conduct, and disruptive behavior disorders",277,269,19690.0,,
primary_diagnosis_ccs,2008,carrier,255,Administrative/social admission,350,350,19270.0,,
primary_diagnosis_ccs,2008,carrier,214,Digestive congenital anomalies,146,143,15610.0,,
primary_diagnosis_ccs,2008,carrier,78,Other CNS infection and poliomyelitis,123,118,14810.0,,
primary_diagnosis_ccs,2008,carrier,20,Cancer; other respiratory and intrathoracic,90,86,14800.0,,
primary_diagnosis_ccs,2008,carrier,34,Cancer of other urinary organs,126,122,14500.0,,
primary_diagnosis_ccs,2008,carrier,216,Nervous system congenital anomalies,105,103,14210.0,,
primary_diagnosis_ccs,2008,carrier,656,"Impulse control disorders, NEC",248,231,12790.0,,
primary_diagnosis_ccs,2008,carrier,658,Personality disorders,164,152,12500.0,,
primary_diagnosis_ccs,2008,carrier,132,Lung disease due to external agents,125,124,10780.0,,
primary_diagnosis_ccs,2008,carrier,9,Sexually transmitted infections (not HIV or hepatitis),156,154,10530.0,,
primary_diagnosis_ccs,2008,carrier,31,Cancer of other male genital organs,34,33,9980.0,,
primary_diagnosis_ccs,2008,carrier,76,Meningitis (except that caused by tuberculosis or sexually transmitted disease),84,81,9070.0,,
primary_diagnosis_ccs,2008,carrier,181,Other complications of pregnancy,117,113,8620.0,,
primary_diagnosis_ccs,2008,carrier,195,Other complications of birth; puerperium affecting management of mother,98,95,8590.0,,
primary_diagnosis_ccs,2008,carrier,124,Acute and chronic tonsillitis,135,131,8430.0,,
primary_diagnosis_ccs,2008,carrier,196,Other pregnancy and delivery including normal,86,81,8390.0,,
primary_diagnosis_ccs,2008,carrier,77,Encephalitis (except that caused by tuberculosis or sexually transmitted disease),87,83,8390.0,,
primary_diagnosis_ccs,2008,carrier,1,Tuberculosis,99,97,6600.0,,
primary_diagnosis_ccs,2008,carrier,30,Cancer of testis,58,49,6440.0,,
primary_diagnosis_ccs,2008,carrier,176,Contraceptive and procreative management,172,163,6100.0,,
primary_diagnosis_ccs,2008,carrier,655,"Disorders usually diagnosed in infancy, childhood, or adolescence",125,118,5580.0,,
primary_diagnosis_ccs,2008,carrier,169,Endometriosis,39,39,4750.0,,
primary_diagnosis_ccs,2008,carrier,224,Other perinatal conditions,42,42,3880.0,,
primary_diagnosis_ccs,2008,carrier,56,Cystic fibrosis,46,44,3830.0,,
primary_diagnosis_ccs,2008,carrier,241,Poisoning by psychotropic agents,39,39,3610.0,,
primary_diagnosis_ccs,2008,carrier,184,Early or threatened labor,20,17,3550.0,,
primary_diagnosis_ccs,2008,carrier,189,Previous C-section,14,12,3220.0,,
primary_diagnosis_ccs,2008,carrier,662,Suicide and intentional self-inflicted injury,16,16,2090.0,,
primary_diagnosis_ccs,2008,carrier,2617,E Codes: Adverse effects of medical drugs,40,37,1970.0,,
primary_diagnosis_ccs,2008,carrier,221,Respiratory distress syndrome,16,15,1900.0,,
primary_diagnosis_ccs,2008,carrier,188,Fetopelvic disproportion; obstruction,8,8,1870.0,,
primary_diagnosis_ccs,2008,carrier,unmapped,Missing primary diagnosis,13,13,1750.0,,
primary_diagnosis_ccs,2008,carrier,2607,e codes: motor vehicle traffic (mvt),9,9,1360.0,,
primary_diagnosis_ccs,2008,carrier,2611,E Codes: Natural/environment,25,25,1350.0,,
primary_diagnosis_ccs,2008,carrier,180,Ectopic pregnancy,7,6,1310.0,,
primary_diagnosis_ccs,2008,carrier,186,Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium,25,25,1280.0,,
primary_diagnosis_ccs,2008,carrier,191,Polyhydramnios and other problems of amniotic cavity,4,4,1190.0,,
primary_diagnosis_ccs,2008,carrier,190,Fetal distress and abnormal forces of labor,7,6,1180.0,,
primary_diagnosis_ccs,2008,carrier,182,Hemorrhage during pregnancy; abruptio placenta; placenta previa,17,17,1040.0,,
primary_diagnosis_ccs,2008,carrier,183,Hypertension complicating pregnancy; childbirth and the puerperium,13,12,1030.0,,
primary_diagnosis_ccs,2008,carrier,2616,E Codes: Adverse effects of medical care,4,4,790.0,,
primary_diagnosis_ccs,2008,carrier,185,Prolonged pregnancy,3,3,760.0,,
primary_diagnosis_ccs,2008,carrier,177,Spontaneous abortion,9,8,710.0,,
primary_diagnosis_ccs,2008,carrier,187,Malposition; malpresentation,4,4,710.0,,
primary_diagnosis_ccs,2008,carrier,174,Female infertility,8,8,420.0,,
primary_diagnosis_ccs,2008,carrier,179,Postabortion complications,7,7,380.0,,
primary_diagnosis_ccs,2008,carrier,219,Short gestation; low birth weight; and fetal growth retardation,2,2,350.0,,
primary_diagnosis_ccs,2008,carrier,2613,E Codes: Poisoning,3,3,350.0,,
primary_diagnosis_ccs,2008,carrier,2604,E Codes: Fire/burn,1,1,300.0,,
primary_diagnosis_ccs,2008,carrier,220,Intrauterine hypoxia and birth asphyxia,2,2,260.0,,
primary_diagnosis_ccs,2008,carrier,178,Induced abortion,5,5,250.0,,
primary_diagnosis_ccs,2008,carrier,2621,E Codes: Place of occurrence,4,4,150.0,,
primary_diagnosis_ccs,2008,carrier,222,Hemolytic jaundice and perinatal jaundice,2,2,100.0,,
primary_diagnosis_ccs,2008,carrier,2601,E Codes: Cut/pierce,1,1,70.0,,
primary_diagnosis_ccs,2008,carrier,2618,E Codes: Other specified and classifiable,1,1,70.0,,
primary_diagnosis_ccs,2008,carrier,2605,E Codes: Firearm,1,1,60.0,,
primary_diagnosis_ccs,2008,carrier,223,Birth trauma,1,1,50.0,,
primary_diagnosis_ccs,2008,carrier,218,Liveborn,2,2,40.0,,
primary_diagnosis_ccs,2008,carrier,2614,E Codes: Struck by- against,1,1,40.0,,
primary_diagnosis_ccs,2008,carrier,2610,e codes: transport- not mvt,2,2,40.0,,
primary_diagnosis_ccs,2008,carrier,2620,E Codes: Unspecified,1,1,10.0,,
primary_diagnosis_ccs,2008,inpatient,2,Septicemia (except in labor),1089,1037,16286600.0,,
primary_diagnosis_ccs,2008,inpatient,101,Coronary atherosclerosis and other heart disease,877,852,10924500.0,,
primary_diagnosis_ccs,2008,inpatient,254,Rehabilitation care; fitting of prostheses; and adjustment of devices,691,658,10886350.0,,
primary_diagnosis_ccs,2008,inpatient,203,Osteoarthritis,960,916,10552020.0,,
primary_diagnosis_ccs,2008,inpatient,108,Congestive heart failure; nonhypertensive,1331,1252,10533700.0,,
