year_month,year,setting,members,claims,unique_beneficiaries,admissions,ed_proxy_visits,outpatient_visits,carrier_service_lines,claims_per_1000_members
2009-09,2009,outpatient,105940,26050,20497,,2172,26050,,245.89390220879744
2009-10,2009,carrier,105765,155679,63145,,,,310929,1471.9330591405474
2009-10,2009,inpatient,105765,2006,1937,1974,,,,18.96657684489198
2009-10,2009,outpatient,105765,26016,20352,,2117,26016,,245.97929371720323
2009-11,2009,carrier,105585,148836,62043,,,,298162,1409.6320500071033
2009-11,2009,inpatient,105585,1901,1836,1867,,,,18.004451389875456
2009-11,2009,outpatient,105585,24322,19196,,2016,24322,,230.35469053369323
2009-12,2009,carrier,105403,151112,62237,,,,301431,1433.6593835090082
2009-12,2009,inpatient,105403,1896,1834,1865,,,,17.988102805422997
2009-12,2009,outpatient,105403,23890,18910,,1903,23890,,226.6538903067275
2010-01,2010,carrier,106435,148270,61170,,,,296713,1393.056795227134
2010-01,2010,inpatient,106435,1786,1720,1761,,,,16.780194484896885
2010-01,2010,outpatient,106435,22594,17890,,1740,22594,,212.2797951801569
2010-02,2010,carrier,106126,129653,57454,,,,258106,1221.6893127037672
2010-02,2010,inpatient,106126,1533,1495,1502,,,,14.445093568022916
2010-02,2010,outpatient,106126,19264,15625,,1600,19264,,181.52007990501858
2010-03,2010,carrier,105875,137200,57821,,,,273465,1295.8677685950413
2010-03,2010,inpatient,105875,1553,1509,1532,,,,14.668240850059032
2010-03,2010,outpatient,105875,20157,16106,,1627,20157,,190.3848878394333
2010-04,2010,carrier,105570,125580,54545,,,,251058,1189.5424836601308
2010-04,2010,inpatient,105570,1481,1430,1458,,,,14.028606611726817
2010-04,2010,outpatient,105570,18017,14553,,1428,18017,,170.66401439802974
2010-05,2010,carrier,105215,120031,52078,,,,240285,1140.8164235137576
2010-05,2010,inpatient,105215,1445,1401,1423,,,,13.73378320581666
2010-05,2010,outpatient,105215,17193,13839,,1363,17193,,163.40825927861997
2010-06,2010,carrier,104821,105292,47468,,,,210614,1004.4933744192481
2010-06,2010,inpatient,104821,1312,1276,1291,,,,12.516575876971217
2010-06,2010,outpatient,104821,15097,12356,,1153,15097,,144.02648324286164
2010-07,2010,carrier,104410,97062,43691,,,,193821,929.6235992721004
2010-07,2010,inpatient,104410,1199,1169,1187,,,,11.483574370271047
2010-07,2010,outpatient,104410,14193,11504,,1091,14193,,135.9352552437506
2010-08,2010,carrier,103979,84096,38789,,,,168472,808.7786956981698
2010-08,2010,inpatient,103979,1068,1051,1058,,,,10.271304782696506
2010-08,2010,outpatient,103979,12443,10159,,955,12443,,119.66839457967474
2010-09,2010,carrier,103499,69568,33382,,,,138620,672.161083681968
2010-09,2010,inpatient,103499,912,901,907,,,,8.811679339897005
2010-09,2010,outpatient,103499,10733,8916,,809,10733,,103.70148503850278
2010-10,2010,carrier,102973,60347,29079,,,,120455,586.0468278092316
2010-10,2010,inpatient,102973,627,619,622,,,,6.088974779796645
2010-10,2010,outpatient,102973,9461,7850,,732,9461,,91.87845357520904
2010-11,2010,carrier,102369,47079,23852,,,,93260,459.8950854262521
2010-11,2010,inpatient,102369,396,385,390,,,,3.868358585118542
2010-11,2010,outpatient,102369,8007,6678,,677,8007,,78.21703836122263
2010-12,2010,carrier,101617,38782,19818,,,,76865,381.64873987620183
2010-12,2010,inpatient,101617,257,257,256,,,,2.5291043821407837
2010-12,2010,outpatient,101617,6812,5763,,578,6812,,67.03602743635415
