year_month,year,setting,payment_source_field,claims,payment_amount,negative_payment_claims,zero_payment_claims,payment_per_claim
2008-11,2008,outpatient,CLM_PMT_AMT (sum of segments),27104,7496020.0,85,1067,276.5650826446281
2008-12,2008,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),161916,14236340.0,0,16196,87.92423231799205
2008-12,2008,inpatient,CLM_PMT_AMT (sum of segments),2328,22623330.0,2,81,9717.925257731958
2008-12,2008,outpatient,CLM_PMT_AMT (sum of segments),28440,7937910.0,82,1085,279.1107594936709
2009-01,2009,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),161275,14279310.0,0,16342,88.54013331266471
2009-01,2009,inpatient,CLM_PMT_AMT (sum of segments),2331,22031740.0,3,76,9451.625911625912
2009-01,2009,outpatient,CLM_PMT_AMT (sum of segments),28633,8177910.0,72,1144,285.61135752453464
2009-02,2009,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),145547,12788150.0,0,14613,87.8626835317801
2009-02,2009,inpatient,CLM_PMT_AMT (sum of segments),2014,20050990.0,4,57,9955.804369414102
2009-02,2009,outpatient,CLM_PMT_AMT (sum of segments),25970,7487980.0,97,1026,288.3319214478244
2009-03,2009,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),160601,14261340.0,0,15970,88.79982067359481
2009-03,2009,inpatient,CLM_PMT_AMT (sum of segments),2216,22083130.0,1,59,9965.311371841155
2009-03,2009,outpatient,CLM_PMT_AMT (sum of segments),28509,8154200.0,89,1097,286.02195797818234
2009-04,2009,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),155798,13812140.0,0,15430,88.65415473882848
2009-04,2009,inpatient,CLM_PMT_AMT (sum of segments),2184,21470840.0,2,60,9830.970695970696
2009-04,2009,outpatient,CLM_PMT_AMT (sum of segments),27813,8057930.0,87,1035,289.7181174271024
2009-05,2009,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),160508,14270670.0,0,15819,88.90940015450943
2009-05,2009,inpatient,CLM_PMT_AMT (sum of segments),2215,21419800.0,2,68,9670.338600451467
2009-05,2009,outpatient,CLM_PMT_AMT (sum of segments),28405,8246150.0,104,1105,290.30628410491113
2009-06,2009,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),154693,13648700.0,0,15265,88.23088310395428
2009-06,2009,inpatient,CLM_PMT_AMT (sum of segments),2117,20350180.0,3,61,9612.744449692962
2009-06,2009,outpatient,CLM_PMT_AMT (sum of segments),27392,8131750.0,90,1033,296.86587324766356
2009-07,2009,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),159153,14128280.0,0,15632,88.77168510804069
2009-07,2009,inpatient,CLM_PMT_AMT (sum of segments),2086,20537030.0,2,55,9845.172579098753
2009-07,2009,outpatient,CLM_PMT_AMT (sum of segments),27717,8009350.0,87,1006,288.9688638741567
2009-08,2009,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),157974,14059310.0,0,15623,88.99761986149619
2009-08,2009,inpatient,CLM_PMT_AMT (sum of segments),2138,21023690.0,0,61,9833.344246959776
2009-08,2009,outpatient,CLM_PMT_AMT (sum of segments),27641,8088390.0,75,1009,292.6229152346152
2009-09,2009,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),151797,13466160.0,0,14966,88.71163461728493
2009-09,2009,inpatient,CLM_PMT_AMT (sum of segments),2126,20347070.0,1,65,9570.587958607714
2009-09,2009,outpatient,CLM_PMT_AMT (sum of segments),26050,7586710.0,84,958,291.23646833013436
2009-10,2009,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),155679,13838290.0,0,15371,88.88989523313998
2009-10,2009,inpatient,CLM_PMT_AMT (sum of segments),2006,19463860.0,2,49,9702.82153539382
2009-10,2009,outpatient,CLM_PMT_AMT (sum of segments),26016,7823690.0,95,1004,300.72609163591636
2009-11,2009,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),148836,13274930.0,0,14542,89.19166061974254
2009-11,2009,inpatient,CLM_PMT_AMT (sum of segments),1901,18052180.0,0,54,9496.149395055234
2009-11,2009,outpatient,CLM_PMT_AMT (sum of segments),24322,7353570.0,91,891,302.3423238220541
2009-12,2009,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),151112,13382200.0,0,14878,88.55815554026152
2009-12,2009,inpatient,CLM_PMT_AMT (sum of segments),1896,18610460.0,1,53,9815.643459915611
2009-12,2009,outpatient,CLM_PMT_AMT (sum of segments),23890,7033420.0,77,861,294.4085391377145
2010-01,2010,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),148270,13125280.0,0,14529,88.52282997234775
2010-01,2010,inpatient,CLM_PMT_AMT (sum of segments),1786,17936730.0,0,50,10042.961926091826
2010-01,2010,outpatient,CLM_PMT_AMT (sum of segments),22594,6719500.0,67,789,297.4019651234841
2010-02,2010,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),129653,11482090.0,0,12848,88.56015672603024
2010-02,2010,inpatient,CLM_PMT_AMT (sum of segments),1533,14547900.0,0,56,9489.823874755382
2010-02,2010,outpatient,CLM_PMT_AMT (sum of segments),19264,5627410.0,81,696,292.1205357142857
2010-03,2010,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),137200,12176360.0,0,13288,88.74897959183673
2010-03,2010,inpatient,CLM_PMT_AMT (sum of segments),1553,15889780.0,1,42,10231.667739858338
2010-03,2010,outpatient,CLM_PMT_AMT (sum of segments),20157,6013750.0,58,746,298.34548791982934
2010-04,2010,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),125580,11115740.0,0,12335,88.5152094282529
2010-04,2010,inpatient,CLM_PMT_AMT (sum of segments),1481,15069890.0,2,36,10175.482781904118
2010-04,2010,outpatient,CLM_PMT_AMT (sum of segments),18017,5345320.0,59,684,296.6820225342732
2010-05,2010,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),120031,10609560.0,0,11809,88.39016587381593
2010-05,2010,inpatient,CLM_PMT_AMT (sum of segments),1445,14056480.0,2,41,9727.667820069204
2010-05,2010,outpatient,CLM_PMT_AMT (sum of segments),17193,5251450.0,52,640,305.4411679171756
2010-06,2010,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),105292,9222740.0,0,10387,87.59202978383922
2010-06,2010,inpatient,CLM_PMT_AMT (sum of segments),1312,12545090.0,1,29,9561.806402439024
2010-06,2010,outpatient,CLM_PMT_AMT (sum of segments),15097,4318630.0,46,574,286.05881963303966
2010-07,2010,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),97062,8531310.0,0,9561,87.89546887556408
2010-07,2010,inpatient,CLM_PMT_AMT (sum of segments),1199,11299460.0,4,37,9424.070058381985
2010-07,2010,outpatient,CLM_PMT_AMT (sum of segments),14193,4130650.0,49,554,291.0343126893539
2010-08,2010,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),84096,7461830.0,0,8113,88.72990391933028
2010-08,2010,inpatient,CLM_PMT_AMT (sum of segments),1068,10469400.0,0,34,9802.808988764045
2010-08,2010,outpatient,CLM_PMT_AMT (sum of segments),12443,3722360.0,54,481,299.15293739451903
2010-09,2010,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),69568,6097870.0,0,6871,87.6533751149954
2010-09,2010,inpatient,CLM_PMT_AMT (sum of segments),912,8732400.0,0,26,9575.0
2010-09,2010,outpatient,CLM_PMT_AMT (sum of segments),10733,3129510.0,42,392,291.5783098854002
2010-10,2010,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),60347,5306080.0,0,6015,87.9261603725123
2010-10,2010,inpatient,CLM_PMT_AMT (sum of segments),627,5930000.0,2,23,9457.735247208931
2010-10,2010,outpatient,CLM_PMT_AMT (sum of segments),9461,2794700.0,27,339,295.39160765246805
2010-11,2010,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),47079,4102310.0,0,4662,87.13672762802948
2010-11,2010,inpatient,CLM_PMT_AMT (sum of segments),396,4087500.0,0,5,10321.969696969696
2010-11,2010,outpatient,CLM_PMT_AMT (sum of segments),8007,2381670.0,26,304,297.44848257774447
2010-12,2010,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),38782,3371120.0,0,3911,86.92486204940437
2010-12,2010,inpatient,CLM_PMT_AMT (sum of segments),257,2329700.0,0,4,9064.980544747083
2010-12,2010,outpatient,CLM_PMT_AMT (sum of segments),6812,1780490.0,23,239,261.3755137991779
